datetime,abs_datetime,t_ms,vP0,vP1,vP2,vF,rssi
2026-03-27 21:34:39.825,2026-03-27 21:34:39.815,1029,0.0062,0.4814,0.0065,0.1375,-8
2026-03-27 21:34:41.239,2026-03-27 21:34:40.888,2102,0.0051,0.4223,0.0065,0.1165,-12
2026-03-27 21:34:42.120,2026-03-27 21:34:42.008,3222,0.0054,0.4165,0.0059,0.1430,-17
2026-03-27 21:34:43.753,2026-03-27 21:34:42.816,4030,0.0062,0.4806,0.0043,0.1269,-10
2026-03-27 21:34:45.622,2026-03-27 21:34:43.909,5123,0.0054,0.4716,0.0065,0.1050,-17
2026-03-27 21:34:46.249,2026-03-27 21:34:44.739,5953,0.0070,0.4634,0.0067,0.1028,-7
2026-03-27 21:34:46.693,2026-03-27 21:34:45.593,6807,0.0044,0.4631,0.0052,0.1438,-18
2026-03-27 21:34:47.074,2026-03-27 21:34:46.395,7609,0.0043,0.4181,0.0051,0.1241,-8
2026-03-27 21:34:47.948,2026-03-27 21:34:47.505,8719,0.0056,0.4714,0.0068,0.1068,-8
2026-03-27 21:34:48.740,2026-03-27 21:34:48.629,9843,0.0070,0.4848,0.0051,0.1429,-15
2026-03-27 21:34:49.202,2026-03-27 21:34:49.530,10744,0.0042,0.4106,0.0055,0.1174,-11
2026-03-27 21:34:49.512,2026-03-27 21:34:50.487,11701,0.0060,0.4183,0.0062,0.1077,-9
2026-03-27 21:34:50.021,2026-03-27 21:34:51.368,12582,0.0060,0.4669,0.0050,0.1005,-18
2026-03-27 21:34:50.425,2026-03-27 21:34:52.472,13686,0.0061,0.4169,0.0059,0.1243,-17
2026-03-27 21:34:54.289,2026-03-27 21:34:53.274,14488,0.0069,0.4024,0.0061,0.1499,-15
2026-03-27 21:34:54.833,2026-03-27 21:34:54.321,15535,0.0052,0.4950,0.0054,0.1274,-16
2026-03-27 21:34:55.825,2026-03-27 21:34:55.421,16635,0.0041,0.4864,0.0057,0.1223,-19
2026-03-27 21:34:56.888,2026-03-27 21:34:56.620,17834,0.0064,0.4468,0.0040,0.1091,-11
2026-03-27 21:34:58.130,2026-03-27 21:34:57.514,18728,0.0059,0.4936,0.0059,0.1081,-19
