datetime,abs_datetime,t_ms,vP0,vP1,vP2,vF,rssi
2026-03-28 02:37:14.108,2026-03-28 02:37:13.865,152380,0.0052,0.5154,0.5398,0.1138,-29
2026-03-28 02:37:14.680,2026-03-28 02:37:14.434,152949,0.0052,0.5169,0.5503,0.1140,-30
2026-03-28 02:37:15.222,2026-03-28 02:37:14.964,153479,0.0052,0.5160,0.5355,0.1138,-31
2026-03-28 02:37:15.818,2026-03-28 02:37:15.600,154115,0.0052,0.5160,0.5447,0.1138,-37
2026-03-28 02:37:16.370,2026-03-28 02:37:16.132,154647,0.0052,0.5147,0.5424,0.1140,-37
2026-03-28 02:37:16.912,2026-03-28 02:37:16.768,155283,0.0051,0.5136,0.5541,0.1140,-38
2026-03-28 02:37:17.500,2026-03-28 02:37:17.301,155816,0.0052,0.5153,0.5496,0.1138,-38
2026-03-28 02:37:18.050,2026-03-28 02:37:17.831,156346,0.0051,0.5169,0.5353,0.1138,-37
2026-03-28 02:37:18.665,2026-03-28 02:37:18.381,156896,0.0052,0.5154,0.5372,0.1140,-34
2026-03-28 02:37:19.205,2026-03-28 02:37:19.020,157535,0.0051,0.5169,0.5578,0.1140,-32
2026-03-28 02:37:19.762,2026-03-28 02:37:19.551,158066,0.0052,0.5177,0.5445,0.1140,-32
2026-03-28 02:37:20.318,2026-03-28 02:37:20.080,158595,0.0051,0.5177,0.5361,0.1140,-35
2026-03-28 02:37:20.938,2026-03-28 02:37:20.719,159234,0.0052,0.5166,0.5526,0.1138,-42
2026-03-28 02:37:21.507,2026-03-28 02:37:21.249,159764,0.0051,0.5158,0.5374,0.1140,-38
2026-03-28 02:37:22.060,2026-03-28 02:37:21.783,160298,0.0051,0.5184,0.5347,0.1140,-39
2026-03-28 02:37:22.613,2026-03-28 02:37:22.419,160934,0.0052,0.5154,0.5484,0.1138,-40
2026-03-28 02:37:23.165,2026-03-28 02:37:22.948,161463,0.0051,0.5154,0.5361,0.1138,-39
2026-03-28 02:37:23.767,2026-03-28 02:37:23.483,161998,0.0051,0.5164,0.5366,0.1140,-39
2026-03-28 02:37:24.323,2026-03-28 02:37:24.119,162634,0.0051,0.5167,0.5511,0.1140,-39
2026-03-28 02:37:24.893,2026-03-28 02:37:24.649,163164,0.0052,0.5167,0.5351,0.1140,-38
2026-03-28 02:37:25.448,2026-03-28 02:37:25.182,163697,0.0051,0.5153,0.5370,0.1140,-39
2026-03-28 02:37:26.006,2026-03-28 02:37:25.818,164333,0.0052,0.5173,0.5460,0.1140,-41
2026-03-28 02:37:26.602,2026-03-28 02:37:26.387,164902,0.0052,0.5154,0.5432,0.1138,-41
2026-03-28 02:37:27.160,2026-03-28 02:37:26.917,165432,0.0051,0.5171,0.5417,0.1138,-38
