datetime,abs_datetime,t_ms,vP0,vP1,vP2,vF,rssi
2026-03-27 21:39:03.303,2026-03-27 21:39:03.236,1007,5.0000,0.4188,0.0062,0.1297,-20
2026-03-27 21:39:03.770,2026-03-27 21:39:04.345,2116,5.0000,0.4373,0.0043,0.1032,-11
2026-03-27 21:39:04.115,2026-03-27 21:39:05.391,3162,5.0000,0.4770,0.0058,0.1346,-5
2026-03-27 21:39:04.624,2026-03-27 21:39:06.316,4087,5.0000,0.4711,0.0060,0.1467,-13
2026-03-27 21:39:04.625,2026-03-27 21:39:07.139,4910,0.0054,0.4093,0.0052,0.1267,-11
2026-03-27 21:39:05.098,2026-03-27 21:39:08.152,5923,5.0000,0.4424,0.0063,0.1364,-19
2026-03-27 21:39:05.100,2026-03-27 21:39:09.129,6900,0.0054,0.4989,0.0058,0.1375,-9
2026-03-27 21:39:05.414,2026-03-27 21:39:10.017,7788,5.0000,0.4163,0.0062,0.1237,-7
2026-03-27 21:39:05.418,2026-03-27 21:39:10.823,8594,0.0067,0.4353,0.0068,0.1085,-6
2026-03-27 21:39:05.851,2026-03-27 21:39:11.998,9769,5.0000,0.4699,0.0064,0.1089,-7
2026-03-27 21:39:06.351,2026-03-27 21:39:12.821,10592,5.0000,0.4867,0.0046,0.1174,-20
2026-03-27 21:39:06.352,2026-03-27 21:39:13.946,11717,0.0062,0.4589,0.0066,0.1298,-18
2026-03-27 21:39:06.877,2026-03-27 21:39:15.145,12916,5.0000,0.4346,0.0045,0.1289,-11
2026-03-27 21:39:07.327,2026-03-27 21:39:16.177,13948,5.0000,0.4353,0.0049,0.1161,-6
2026-03-27 21:39:07.329,2026-03-27 21:39:17.244,15015,0.0062,0.4403,0.0043,0.1394,-20
2026-03-27 21:39:07.827,2026-03-27 21:39:18.209,15980,5.0000,0.4221,0.0045,0.1361,-10
2026-03-27 21:39:07.828,2026-03-27 21:39:19.078,16849,0.0063,0.4267,0.0046,0.1222,-5
2026-03-27 21:39:08.354,2026-03-27 21:39:19.895,17666,5.0000,0.4316,0.0047,0.1268,-16
2026-03-27 21:39:08.728,2026-03-27 21:39:21.026,18797,5.0000,0.4237,0.0055,0.1379,-19
2026-03-27 21:39:08.730,2026-03-27 21:39:22.168,19939,0.0054,0.4173,0.0050,0.1247,-20
2026-03-27 21:39:09.105,2026-03-27 21:39:23.349,21120,5.0000,0.4739,0.0051,0.1325,-15
2026-03-27 21:39:09.531,2026-03-27 21:39:24.533,22304,5.0000,0.4739,0.0055,0.1062,-11
2026-03-27 21:39:09.879,2026-03-27 21:39:25.550,23321,5.0000,0.4259,0.0044,0.1027,-19
2026-03-27 21:39:09.880,2026-03-27 21:39:26.633,24404,0.0049,0.4836,0.0052,0.1056,-11
2026-03-27 21:39:10.342,2026-03-27 21:39:27.804,25575,5.0000,0.4989,0.0058,0.1430,-10
2026-03-27 21:39:10.859,2026-03-27 21:39:28.796,26567,5.0000,0.4445,0.0048,0.1388,-20
2026-03-27 21:39:10.861,2026-03-27 21:39:29.893,27664,0.0048,0.4895,0.0064,0.1441,-5
2026-03-27 21:39:11.235,2026-03-27 21:39:31.051,28822,5.0000,0.4575,0.0062,0.1351,-17
2026-03-27 21:39:11.709,2026-03-27 21:39:31.979,29750,5.0000,0.4726,0.0064,0.1410,-12
2026-03-27 21:39:12.079,2026-03-27 21:39:33.073,30844,5.0000,0.4506,0.0062,0.1369,-14
2026-03-27 21:39:12.080,2026-03-27 21:39:34.214,31985,0.0044,0.4425,0.0067,0.1098,-5
2026-03-27 21:39:12.667,2026-03-27 21:39:35.153,32924,5.0000,0.4645,0.0051,0.1483,-12
2026-03-27 21:39:12.669,2026-03-27 21:39:36.226,33997,0.0047,0.4528,0.0059,0.1463,-6
2026-03-27 21:39:13.105,2026-03-27 21:39:37.398,35169,5.0000,0.4497,0.0041,0.1076,-6
