datetime,abs_datetime,t_ms,vP0,vP1,vP2,vF,rssi
2026-03-27 17:59:57.771,2026-03-27 17:59:57.742,1062,0.0049,0.4210,0.0058,0.1059,-20
2026-03-27 17:59:58.343,2026-03-27 17:59:58.747,2067,0.0051,0.4161,0.0041,0.1100,-15
2026-03-27 17:59:59.832,2026-03-27 17:59:59.677,2997,0.0040,0.4672,0.0042,0.1155,-10
2026-03-27 18:00:00.374,2026-03-27 18:00:00.598,3918,0.0046,0.4059,0.0053,0.1190,-17
2026-03-27 18:00:00.689,2026-03-27 18:00:01.520,4840,0.0061,0.4851,0.0057,0.1430,-18
2026-03-27 18:00:01.090,2026-03-27 18:00:02.407,5727,0.0061,0.4183,0.0063,0.1461,-6
2026-03-27 18:00:01.660,2026-03-27 18:00:03.333,6653,0.0057,0.4206,0.0069,0.1374,-7
2026-03-27 18:00:01.997,2026-03-27 18:00:04.428,7748,0.0052,0.4692,0.0067,0.1262,-8
2026-03-27 18:00:02.446,2026-03-27 18:00:05.525,8845,0.0052,0.4733,0.0053,0.1424,-13
2026-03-27 18:00:02.813,2026-03-27 18:00:06.605,9925,0.0065,0.4017,0.0052,0.1467,-17
2026-03-27 18:00:03.507,2026-03-27 18:00:07.603,10923,0.0055,0.4235,0.0049,0.1471,-14
2026-03-27 18:00:03.898,2026-03-27 18:00:08.408,11728,0.0049,0.4424,0.0045,0.1079,-8
2026-03-27 18:00:04.895,2026-03-27 18:00:09.337,12657,0.0057,0.4825,0.0066,0.1320,-19
2026-03-27 18:00:05.323,2026-03-27 18:00:10.372,13692,0.0054,0.4497,0.0045,0.1234,-13
2026-03-27 18:00:05.902,2026-03-27 18:00:11.565,14885,0.0044,0.4214,0.0040,0.1119,-10
2026-03-27 18:00:06.976,2026-03-27 18:00:12.656,15976,0.0046,0.4955,0.0063,0.1415,-12
2026-03-27 18:00:07.321,2026-03-27 18:00:13.512,16832,0.0062,0.4286,0.0049,0.1128,-17
2026-03-27 18:00:08.773,2026-03-27 18:00:14.325,17645,0.0045,0.4753,0.0068,0.1191,-14
2026-03-27 18:00:09.220,2026-03-27 18:00:15.146,18466,0.0051,0.4524,0.0049,0.1287,-20
2026-03-27 18:00:09.729,2026-03-27 18:00:16.077,19397,0.0054,0.4266,0.0042,0.1247,-12
2026-03-27 18:00:10.574,2026-03-27 18:00:17.233,20553,0.0047,0.4900,0.0067,0.1321,-17
2026-03-27 18:00:11.001,2026-03-27 18:00:18.221,21541,0.0058,0.4350,0.0058,0.1460,-7
2026-03-27 18:00:11.373,2026-03-27 18:00:19.216,22536,0.0054,0.4648,0.0050,0.1175,-15
2026-03-27 18:00:12.062,2026-03-27 18:00:20.217,23537,0.0066,0.4526,0.0053,0.1479,-10
2026-03-27 18:00:13.065,2026-03-27 18:00:21.283,24603,0.0041,0.4877,0.0058,0.1197,-13
2026-03-27 18:00:13.606,2026-03-27 18:00:22.216,25536,0.0042,0.4630,0.0042,0.1006,-9
2026-03-27 18:00:15.156,2026-03-27 18:00:23.403,26723,0.0058,0.4407,0.0044,0.1135,-17
