datetime,abs_datetime,t_ms,vP0,vP1,vP2,vF,rssi
2026-03-28 05:40:55.971,2026-03-28 05:40:55.326,51695,0.3407,0.6206,0.3482,5.9036,-29
2026-03-28 05:40:56.538,2026-03-28 05:40:55.962,52331,0.3407,0.6206,0.3482,5.9113,-31
2026-03-28 05:40:57.099,2026-03-28 05:40:56.425,52794,0.3407,0.6206,0.3482,5.8924,-46
2026-03-28 05:40:57.653,2026-03-28 05:40:57.084,53453,0.3407,0.6206,0.3482,5.8886,-37
2026-03-28 05:40:58.275,2026-03-28 05:40:57.614,53983,0.3407,0.6206,0.3482,5.8847,-35
2026-03-28 05:40:58.836,2026-03-28 05:40:58.169,54538,0.3407,0.6206,0.3482,5.8847,-31
2026-03-28 05:40:59.397,2026-03-28 05:40:58.805,55174,0.3407,0.6206,0.3482,5.8886,-34
2026-03-28 05:40:59.960,2026-03-28 05:40:59.335,55704,0.3407,0.6206,0.3482,5.8772,-35
2026-03-28 05:41:00.520,2026-03-28 05:40:59.869,56238,0.3407,0.6206,0.3482,5.8772,-40
2026-03-28 05:41:01.062,2026-03-28 05:41:00.505,56874,0.3407,0.6206,0.3482,5.8809,-32
2026-03-28 05:41:01.682,2026-03-28 05:41:01.034,57403,0.3407,0.6206,0.3482,5.8697,-33
2026-03-28 05:41:02.247,2026-03-28 05:41:01.568,57937,0.3407,0.6206,0.3482,5.8659,-35
2026-03-28 05:41:02.817,2026-03-28 05:41:02.204,58573,0.3407,0.6206,0.3482,5.8659,-33
2026-03-28 05:41:03.366,2026-03-28 05:41:02.738,59107,0.3407,0.6206,0.3482,5.8583,-34
2026-03-28 05:41:03.929,2026-03-28 05:41:03.269,59638,0.3407,0.6244,0.3482,5.8545,-30
2026-03-28 05:41:04.489,2026-03-28 05:41:03.905,60274,0.3407,0.6244,0.3482,5.8545,-31
2026-03-28 05:41:05.045,2026-03-28 05:41:04.439,60808,0.3407,0.6244,0.3482,5.8507,-32
2026-03-28 05:41:05.654,2026-03-28 05:41:04.969,61338,0.3407,0.6281,0.3482,5.8470,-37
2026-03-28 05:41:06.215,2026-03-28 05:41:05.605,61974,0.3407,0.6206,0.3482,5.8431,-33
2026-03-28 05:41:06.777,2026-03-28 05:41:06.138,62507,0.3407,0.6206,0.3482,5.8393,-30
2026-03-28 05:41:07.338,2026-03-28 05:41:06.669,63038,0.3407,0.6244,0.3482,5.8393,-30
2026-03-28 05:41:07.902,2026-03-28 05:41:07.308,63677,0.3407,0.6206,0.3482,5.8356,-29
2026-03-28 05:41:08.463,2026-03-28 05:41:07.838,64207,0.3407,0.6206,0.3482,5.8318,-30
2026-03-28 05:41:09.022,2026-03-28 05:41:08.368,64737,0.3407,0.6244,0.3482,5.8318,-31
2026-03-28 05:41:09.583,2026-03-28 05:41:09.007,65376,0.3407,0.6206,0.3482,5.8281,-28
2026-03-28 05:41:10.185,2026-03-28 05:41:09.538,65907,0.3407,0.6206,0.3482,5.8243,-33
2026-03-28 05:41:10.746,2026-03-28 05:41:10.067,66436,0.3407,0.6206,0.3482,5.8243,-30
2026-03-28 05:41:11.309,2026-03-28 05:41:10.728,67097,0.3407,0.6206,0.3482,5.8281,-40
2026-03-28 05:41:11.869,2026-03-28 05:41:11.259,67628,0.3407,0.6206,0.3482,5.8204,-38
2026-03-28 05:41:12.427,2026-03-28 05:41:11.788,68157,0.3407,0.6206,0.3482,5.8166,-37
2026-03-28 05:41:12.989,2026-03-28 05:41:12.427,68796,0.3407,0.6206,0.3482,5.8204,-39
2026-03-28 05:41:13.610,2026-03-28 05:41:12.957,69326,0.3407,0.6281,0.3482,5.8091,-39
2026-03-28 05:41:14.171,2026-03-28 05:41:13.487,69856,0.3407,0.6206,0.3482,5.8091,-42
2026-03-28 05:41:14.718,2026-03-28 05:41:14.127,70496,0.3407,0.6206,0.3482,5.8054,-40
2026-03-28 05:41:15.275,2026-03-28 05:41:14.656,71025,0.3407,0.6244,0.3482,5.8014,-41
2026-03-28 05:41:15.881,2026-03-28 05:41:15.190,71559,0.3368,0.6206,0.3482,5.8014,-43
2026-03-28 05:41:16.451,2026-03-28 05:41:15.826,72195,0.3407,0.6206,0.3482,5.7977,-41
2026-03-28 05:41:17.000,2026-03-28 05:41:16.357,72726,0.3407,0.6244,0.3482,5.7902,-41
2026-03-28 05:41:17.561,2026-03-28 05:41:16.890,73259,0.3368,0.6206,0.3482,5.7864,-42
2026-03-28 05:41:18.117,2026-03-28 05:41:17.526,73895,0.3368,0.6244,0.3482,5.7864,-41
2026-03-28 05:41:18.677,2026-03-28 05:41:18.057,74426,0.3407,0.6206,0.3482,5.7864,-41
2026-03-28 05:41:19.234,2026-03-28 05:41:18.590,74959,0.3407,0.6206,0.3482,5.7864,-42
2026-03-28 05:41:19.854,2026-03-28 05:41:19.226,75595,0.3407,0.6206,0.3482,5.7827,-41
2026-03-28 05:41:20.414,2026-03-28 05:41:19.759,76128,0.3407,0.6206,0.3482,5.7827,-42
2026-03-28 05:41:20.975,2026-03-28 05:41:20.395,76764,0.3407,0.6281,0.3482,5.7864,-41
2026-03-28 05:41:21.534,2026-03-28 05:41:20.926,77295,0.3407,0.6206,0.3482,5.7827,-39
2026-03-28 05:41:22.081,2026-03-28 05:41:21.459,77828,0.3368,0.6281,0.3482,5.7827,-38
2026-03-28 05:41:22.641,2026-03-28 05:41:22.095,78464,0.3407,0.6206,0.3482,5.7827,-38
2026-03-28 05:41:23.273,2026-03-28 05:41:22.645,79014,0.3407,0.6206,0.3482,5.7787,-38
2026-03-28 05:41:23.829,2026-03-28 05:41:23.200,79569,0.3407,0.6206,0.3482,5.7787,-38
2026-03-28 05:41:24.388,2026-03-28 05:41:23.730,80099,0.3407,0.6244,0.3482,5.7750,-39
2026-03-28 05:41:24.936,2026-03-28 05:41:24.366,80735,0.3407,0.6206,0.3482,5.7787,-39
2026-03-28 05:41:25.493,2026-03-28 05:41:24.900,81269,0.3407,0.6244,0.3482,5.7638,-39
2026-03-28 05:41:26.055,2026-03-28 05:41:25.429,81798,0.3407,0.6281,0.3482,5.7638,-39
2026-03-28 05:41:26.616,2026-03-28 05:41:26.069,82438,0.3368,0.6281,0.3482,5.7713,-38
2026-03-28 05:41:27.179,2026-03-28 05:41:26.599,82968,0.3407,0.6281,0.3482,5.7561,-40
2026-03-28 05:41:27.791,2026-03-28 05:41:27.129,83498,0.3407,0.6281,0.3482,5.7523,-43
2026-03-28 05:41:28.349,2026-03-28 05:41:27.769,84138,0.3407,0.6281,0.3482,5.7561,-41
2026-03-28 05:41:28.910,2026-03-28 05:41:28.298,84667,0.3368,0.6244,0.3482,5.7448,-42
2026-03-28 05:41:29.473,2026-03-28 05:41:28.829,85198,0.3368,0.6281,0.3482,5.7411,-45
2026-03-28 05:41:30.030,2026-03-28 05:41:29.470,85839,0.3368,0.6206,0.3482,5.7411,-42
2026-03-28 05:41:30.593,2026-03-28 05:41:30.000,86369,0.3368,0.6206,0.3482,5.7334,-43
2026-03-28 05:41:31.157,2026-03-28 05:41:30.530,86899,0.3368,0.6206,0.3482,5.7296,-45
2026-03-28 05:41:31.778,2026-03-28 05:41:31.169,87538,0.3368,0.6206,0.3482,5.7334,-43
2026-03-28 05:41:32.338,2026-03-28 05:41:31.700,88069,0.3368,0.6206,0.3482,5.7259,-43
2026-03-28 05:41:32.899,2026-03-28 05:41:32.233,88602,0.3368,0.6281,0.3482,5.7221,-45
2026-03-28 05:41:33.461,2026-03-28 05:41:32.869,89238,0.3368,0.6281,0.3482,5.7182,-43
2026-03-28 05:41:34.007,2026-03-28 05:41:33.399,89768,0.3368,0.6244,0.3482,5.7144,-43
2026-03-28 05:41:34.567,2026-03-28 05:41:33.933,90302,0.3368,0.6206,0.3482,5.7107,-51
2026-03-28 05:41:35.189,2026-03-28 05:41:34.569,90938,0.3368,0.6244,0.3482,5.7069,-43
2026-03-28 05:41:35.750,2026-03-28 05:41:35.098,91467,0.3368,0.6281,0.3482,5.7032,-37
2026-03-28 05:41:36.311,2026-03-28 05:41:35.683,92052,0.3368,0.6281,0.3482,5.6993,-36
2026-03-28 05:41:36.873,2026-03-28 05:41:36.214,92583,0.3368,0.6281,0.3482,5.6955,-38
2026-03-28 05:41:37.431,2026-03-28 05:41:36.850,93219,0.3368,0.6244,0.3482,5.6955,-37
2026-03-28 05:41:37.992,2026-03-28 05:41:37.383,93752,0.3368,0.6281,0.3482,5.6880,-37
2026-03-28 05:41:38.550,2026-03-28 05:41:37.913,94282,0.3407,0.6281,0.3482,5.6842,-39
2026-03-28 05:41:39.109,2026-03-28 05:41:38.552,94921,0.3368,0.6206,0.3482,5.6880,-41
2026-03-28 05:41:39.730,2026-03-28 05:41:39.083,95452,0.3368,0.6206,0.3482,5.6842,-40
2026-03-28 05:41:40.292,2026-03-28 05:41:39.612,95981,0.3368,0.6206,0.3482,5.6842,-41
2026-03-28 05:41:40.851,2026-03-28 05:41:40.252,96621,0.3368,0.6244,0.3482,5.6805,-39
2026-03-28 05:41:41.412,2026-03-28 05:41:40.782,97151,0.3368,0.6281,0.3482,5.6766,-42
2026-03-28 05:41:41.972,2026-03-28 05:41:41.312,97681,0.3368,0.6244,0.3482,5.6691,-44
2026-03-28 05:41:42.534,2026-03-28 05:41:41.952,98321,0.3368,0.6281,0.3482,5.6691,-42
2026-03-28 05:41:43.088,2026-03-28 05:41:42.492,98861,0.3368,0.6281,0.3482,5.6616,-42
2026-03-28 05:41:43.655,2026-03-28 05:41:43.023,99392,0.3368,0.6281,0.3482,5.6616,-43
2026-03-28 05:41:44.275,2026-03-28 05:41:43.662,100031,0.3368,0.6206,0.3482,5.6616,-42
2026-03-28 05:41:44.831,2026-03-28 05:41:44.192,100561,0.3368,0.6281,0.3482,5.6501,-38
2026-03-28 05:41:45.392,2026-03-28 05:41:44.725,101094,0.3368,0.6206,0.3482,5.6464,-36
2026-03-28 05:41:45.953,2026-03-28 05:41:45.361,101730,0.3368,0.6244,0.3482,5.6426,-33
2026-03-28 05:41:46.516,2026-03-28 05:41:45.892,102261,0.3368,0.6281,0.3482,5.6389,-32
2026-03-28 05:41:47.075,2026-03-28 05:41:46.425,102794,0.3368,0.6281,0.3482,5.6312,-34
